ta_id,ta_slug,ta_name,ea_id,ea_slug,ea_name,match_type,confidence,distance_m,name_distance,images_count
1,white-hart-whitechapel,"White Hart, Whitechapel",457,white-hart-whitechapel,"White Hart, Whitechapel",slug_only,0.85,87.7,0,5
3,skimmington-castle-reigate,"Skimmington, Castle, Reigate",454,skimmington-castle-reigate,"Skimmington, Castle, Reigate",slug_only,0.85,1154.6,0,5
4,unity-place-milton-keynes,"Unity Place, Milton Keynes",456,unity-place-milton-keynes,"Unity Place, Milton Keynes",slug_geo,1.0,19.6,0,5
5,sir-christopher-hatton-chancery-lane,"Sir Christopher Hatton, Chancery Lane",455,sir-christopher-hatton-chancery-lane,"Sir Christopher Hatton, Chancery Lane",slug_geo,1.0,8.3,0,5
6,three-johns-angel,"Three Johns, Angel",449,three-johns-angel,"Three Johns, Angel",slug_geo,1.0,3.9,0,5
7,village-green-muswell-hill,"Village Green, Muswell Hill",464,village-green-muswell-hill,"Village Green, Muswell Hill",slug_geo,1.0,5.0,0,5
8,the-boot,The Boot,509,the-boot,The Boot,slug_geo,1.0,10.3,0,5
9,saint-sinner-st-albans,"Saint & Sinner, St Albans",459,saint-sinner-st-albans,"Saint & Sinner, St Albans",slug_geo,1.0,3.4,0,5
10,royal-oak-bethnal-green,"Royal Oak, Bethnal Green",461,royal-oak-bethnal-green,"Royal Oak, Bethnal Green",slug_geo,1.0,0.9,0,5
11,riverside-vauxhall,"Riverside, Vauxhall",463,riverside-vauxhall,"Riverside, Vauxhall",slug_only,0.85,189.2,0,5
12,red-lion-odiham,"Red Lion, Odiham",467,red-lion-odiham,"Red Lion, Odiham",slug_geo,1.0,32.9,0,5
13,practitioner-hertford,"Practitioner, Hertford",471,practitioner-hertford,"Practitioner, Hertford",slug_geo,1.0,28.2,0,5
14,munich-cricket-club-victoria,"Munich Cricket Club, Victoria",476,munich-cricket-club-victoria,"Munich Cricket Club, Victoria",slug_geo,1.0,14.9,0,5
15,munich-cricket-club-tower-hill,"Munich Cricket Club, Tower Hill",479,munich-cricket-club-tower-hill,"Munich Cricket Club, Tower Hill",slug_geo,1.0,7.0,0,5
16,munich,Munich,478,munich,Munich,slug_only,0.85,65.2,0,5
17,metropolis-vauxhall,"Metropolis, Vauxhall",485,metropolis-vauxhall,"Metropolis, Vauxhall",slug_geo,1.0,9.7,0,5
18,lord-morpeth-bow,"Lord Morpeth, Bow",484,lord-morpeth-bow,"Lord Morpeth, Bow",slug_geo,1.0,0.8,0,5
19,howling-hops-hackney-wick,"Howling Hops, Hackney Wick",488,howling-hops-hackney-wick,"Howling Hops, Hackney Wick",slug_only,0.85,173.9,0,5
20,hope-and-anchor-brixton,"Hope and Anchor, Brixton",494,hope-and-anchor-brixton,"Hope and Anchor, Brixton",slug_geo,1.0,9.5,0,5
21,gomshaw-mill-guilford,"Gomshaw Mill, Guilford",499,gomshaw-mill-guilford,"Gomshaw Mill, Guilford",slug_only,0.85,349.2,0,5
22,eltham-gpo-eltham,"Eltham GPO, Eltham",504,eltham-gpo-eltham,"Eltham GPO, Eltham",slug_geo,1.0,17.7,0,5
23,the-bootmaker-chelmsford,"The Bootmaker, Chelmsford",477,the-bootmaker-chelmsford,"The Bootmaker, Chelmsford",slug_geo,1.0,6.7,0,5
24,black-horse-thame,"Black Horse, Thame",481,black-horse-thame,"Black Horse, Thame",slug_only,0.85,51.4,0,5
25,bar-lingo,Bar Lingo,482,bar-lingo,Bar Lingo,slug_geo,1.0,0.3,0,5
26,jaga-jaga-bar,Jaga Jaga Bar,490,jaga-jaga-bar,Jaga Jaga Bar,slug_only,0.85,167.9,0,5
27,the-morgan-arms-bow,"The Morgan Arms, Bow",495,the-morgan-arms-bow,"The Morgan Arms, Bow",slug_geo,1.0,2.2,0,5
28,the-anglers-tavern-wednesdays,The Anglers Tavern Wednesday’s,,,,no_match,0.0,,,5
29,near-and-far,Near and Far,,,,no_match,0.0,,,5
30,rose-island,Rose Island,489,rose-island,Rose Island,slug_geo,1.0,3.9,0,5
31,the-railway-telegraph-forrest-hill,"The Railway Telegraph, Forrest Hill",501,the-railway-telegraph-forrest-hill,"The Railway Telegraph, Forrest Hill",slug_geo,1.0,5.5,0,5
32,the-bobbin,The Bobbin,515,the-bobbin,The Bobbin,slug_only,0.85,4092.2,0,5
33,black-lion-west-hampstead-every-sunday,"Black Lion, West Hampstead Every Sunday",486,black-lion-west-hampstead-every-sunday,"Black Lion, West Hampstead Every Sunday",slug_geo,1.0,38.5,0,5
34,lord-dudley,Lord Dudley,487,lord-dudley,Lord Dudley,slug_geo,1.0,3.1,0,5
35,antique-bar,Antique Bar,491,antique-bar,Antique Bar,slug_geo,1.0,6.8,0,5
36,bath-house-cambridge,"Bath House, Cambridge",497,bath-house-cambridge,"Bath House, Cambridge",slug_geo,1.0,3.4,0,5
37,elephant-barrel,Elephant & Barrel,502,elephant-barrel,Elephant & Barrel,slug_geo,1.0,19.1,0,5
38,the-crown-blackheath,"The Crown, Blackheath",517,the-crown-blackheath,"The Crown, Blackheath",slug_geo,1.0,12.7,0,5
39,the-queens-head-holborn,"The Queen’s Head, Holborn",507,the-queens-head-holborn,"The Queen’s Head, Holborn",slug_geo,1.0,8.9,0,5
40,old-ship-limehouse,"Old Ship, Limehouse",519,old-ship-limehouse,"Old Ship, Limehouse",slug_geo,1.0,7.6,0,5
41,sonder-bar,Sonder Bar,522,sonder-bar,Sonder Bar,slug_geo,1.0,1.7,0,5
42,oydis,Oydis,528,oydis,Oydis,slug_geo,1.0,1.8,0,5
