TRIVIA ADVISOR → EVENTASAURUS IMAGE MIGRATION
Phase 1: Development Testing Report (RAW SQL)
Generated: 2025-10-26 10:10:28.374985Z

================================================================================
MIGRATION SUMMARY
================================================================================

Total venues processed: 575
Successful migrations: 575
Failed migrations: 0
Total images migrated: 2838
Average images per venue: 4.9

================================================================================
MIGRATION DETAILS
================================================================================

✓ ID 457 (white-hart-whitechapel): 0 images
✓ ID 454 (skimmington-castle-reigate): 0 images
✓ ID 456 (unity-place-milton-keynes): 0 images
✓ ID 455 (sir-christopher-hatton-chancery-lane): 0 images
✓ ID 449 (three-johns-angel): 0 images
✓ ID 464 (village-green-muswell-hill): 5 images
✓ ID 509 (the-boot): 5 images
✓ ID 459 (saint-sinner-st-albans): 5 images
✓ ID 461 (royal-oak-bethnal-green): 5 images
✓ ID 463 (riverside-vauxhall): 5 images
✓ ID 467 (red-lion-odiham): 5 images
✓ ID 471 (practitioner-hertford): 5 images
✓ ID 476 (munich-cricket-club-victoria): 5 images
✓ ID 479 (munich-cricket-club-tower-hill): 5 images
✓ ID 478 (munich): 5 images
✓ ID 485 (metropolis-vauxhall): 5 images
✓ ID 484 (lord-morpeth-bow): 5 images
✓ ID 488 (howling-hops-hackney-wick): 5 images
✓ ID 494 (hope-and-anchor-brixton): 5 images
✓ ID 499 (gomshaw-mill-guilford): 5 images
✓ ID 504 (eltham-gpo-eltham): 5 images
✓ ID 477 (the-bootmaker-chelmsford): 5 images
✓ ID 481 (black-horse-thame): 5 images
✓ ID 482 (bar-lingo): 5 images
✓ ID 490 (jaga-jaga-bar): 5 images
✓ ID 495 (the-morgan-arms-bow): 5 images
✓ ID 489 (rose-island): 5 images
✓ ID 501 (the-railway-telegraph-forrest-hill): 5 images
✓ ID 515 (the-bobbin): 5 images
✓ ID 486 (black-lion-west-hampstead-every-sunday): 5 images
✓ ID 487 (lord-dudley): 5 images
✓ ID 491 (antique-bar): 5 images
✓ ID 497 (bath-house-cambridge): 5 images
✓ ID 502 (elephant-barrel): 5 images
✓ ID 517 (the-crown-blackheath): 5 images
✓ ID 507 (the-queens-head-holborn): 5 images
✓ ID 519 (old-ship-limehouse): 5 images
✓ ID 522 (sonder-bar): 5 images
✓ ID 528 (oydis): 5 images
✓ ID 493 (sloth-bar): 5 images
✓ ID 498 (surlys-bar): 5 images
✓ ID 503 (the-phoenix): 5 images
✓ ID 505 (miss-moses): 5 images
✓ ID 518 (beaconsfield-tap-beaconsfield): 5 images
✓ ID 521 (spencer-arms-putney): 5 images
✓ ID 512 (skinny-dog-hotel): 5 images
✓ ID 535 (the-taps-gx-gerrards-cross): 5 images
✓ ID 533 (two-flints-windsor): 5 images
✓ ID 541 (durell-arms-fulham): 5 images
✓ ID 506 (lamb-chiswick): 5 images
✓ ID 510 (metropolis-epsom): 5 images
✓ ID 514 (lucky-voice-liverpool-street): 5 images
✓ ID 520 (east-hill-wandsworth): 5 images
✓ ID 523 (alwyne-castle-islington): 5 images
✓ ID 532 (hammerton-brewery-taproom-highbury): 5 images
✓ ID 536 (british-queen-locksbottom): 5 images
✓ ID 543 (white-swan-pimlico): 5 images
✓ ID 548 (white-horse-wembley): 5 images
✓ ID 553 (woolpack-hertford-every-tuesday): 5 images
✓ ID 513 (lucky-voice-islington): 5 images
✓ ID 524 (castle-holland-park): 5 images
✓ ID 525 (peahen-st-albans): 5 images
✓ ID 530 (huntsman-hounds-elephant-and-castle): 5 images
✓ ID 537 (prince-regent-herne-hill): 5 images
✓ ID 540 (fox-duck-richmond): 5 images
✓ ID 546 (edinboro-castle-camden): 5 images
✓ ID 551 (cambridge-tap-cambridge): 5 images
✓ ID 561 (brouge-twickenham): 5 images
✓ ID 556 (ship-inn-canary-wharf): 5 images
✓ ID 529 (crown-anchor-chiswick): 5 images
✓ ID 531 (brewdog-milton-keynes): 5 images
✓ ID 538 (kings-arms-waterloo): 5 images
✓ ID 542 (grapes-limehouse): 5 images
✓ ID 547 (sun-inn-barnes): 5 images
✓ ID 558 (highwayman-berkhamsted): 5 images
✓ ID 557 (railway-blackheath): 5 images
✓ ID 567 (arab-boy-putney): 5 images
✓ ID 575 (royal-oak-borough): 5 images
✓ ID 539 (angel-on-the-bridge-henley-on-thames): 5 images
✓ ID 544 (drapers-arms-ealing): 5 images
✓ ID 549 (champion-notting-hill): 5 images
✓ ID 559 (trinity-arms-brixton): 5 images
✓ ID 554 (pilot-chiswick): 5 images
✓ ID 565 (bohemia-north-finchley): 5 images
✓ ID 569 (house-of-hammerton-islington): 5 images
✓ ID 574 (eagle-hoxton): 5 images
✓ ID 655 (red-lion-histon-histon): 5 images
✓ ID 584 (fentiman-arms-vauxhall): 5 images
✓ ID 550 (pub-quiiz): 5 images
✓ ID 555 (perseverance-bloomsbury): 5 images
✓ ID 566 (star-by-hackney-downs-hackney): 5 images
✓ ID 564 (lord-napier-star-hackney-wick): 5 images
✓ ID 570 (castle-farringdon): 5 images
✓ ID 578 (jobbers-rest-upminster): 5 images
✓ ID 585 (spice-of-life-soho): 5 images
✓ ID 587 (rose-fulham): 5 images
✓ ID 589 (garden-shed-wimbledon): 5 images
✓ ID 592 (bull-islington): 5 images
✓ ID 598 (saracens-head-ware): 5 images
✓ ID 560 (hollybush-loughton): 5 images
✓ ID 571 (pilgrim-kennington): 5 images
✓ ID 572 (duke-of-sussex-chiswick-every-sunday): 5 images
✓ ID 600 (bollo-house-chiswick): 5 images
✓ ID 582 (the-plough-effingham): 5 images
✓ ID 588 (hare-and-billet-blackheath): 5 images
✓ ID 580 (hop-poles-hammersmith): 5 images
✓ ID 596 (duchy-arms-kennington): 5 images
✓ ID 573 (duke-of-hammersmith-hammersmith): 5 images
✓ ID 583 (camden-road-arms-camden): 5 images
✓ ID 594 (crabtree-fulham): 5 images
✓ ID 591 (star-of-the-east-limehouse): 5 images
✓ ID 602 (dogs-head-bishops-stortford): 5 images
✓ ID 597 (woodman-wimbledon-park): 5 images
✓ ID 599 (crown-treaty-uxbridge): 5 images
✓ ID 577 (island-queen-islington): 5 images
✓ ID 593 (coopers-arms-hitchin): 5 images
✓ ID 604 (roundhouse-wandsworth): 5 images
✓ ID 595 (watermans-arms-canary-wharf): 5 images
✓ ID 248 (andrea-ludgate-hill): 5 images
✓ ID 250 (beer-merchants-tap): 5 images
✓ ID 252 (clock-house-tavern): 5 images
✓ ID 253 (coopers-arms): 5 images
✓ ID 254 (crofton-park-tavern): 5 images
✓ ID 256 (east-putney-tavern): 5 images
✓ ID 257 (effra-social): 5 images
✓ ID 258 (fire-stables): 5 images
✓ ID 259 (george-dragon): 5 images
✓ ID 260 (grove-house-tavern): 5 images
✓ ID 261 (hoxton-cabin): 5 images
✓ ID 262 (islington-town-house): 5 images
✓ ID 263 (knowles-of-norwood): 5 images
